person_id,age,weight_kg,height_cm,steps_per_day,calories_burned
301,18,52.99,173.99,3000,2075
302,33,70.89,192.65,12840,2796
303,19,57.21,186.68,9229,2102
304,46,71.4,192.25,14381,1764
305,20,92.28,180.18,6638,2788
306,56,88.11,177.46,11447,3081
307,41,85.46,167.24,6079,2041
308,29,99.63,163.65,12525,2624
309,44,57.14,170.02,8059,1759
310,53,97.05,173.09,3228,2478
311,61,89.95,155.98,12794,1712
312,31,65.53,152.13,14839,2298
313,27,92.78,172.23,7790,3126
314,27,71.18,188.56,10545,2585
315,28,79.19,156.67,7305,2193
316,53,67.99,162.63,13572,2578
317,47,70.13,198.59,7516,1881
318,38,75.71,177.9,4181,2949
319,62,69.69,174.33,6769,1756
320,50,73.0,199.54,10929,1670
321,37,84.02,178.56,11474,2950
322,51,53.79,167.83,12597,2969
323,54,60.1,157.16,3753,2389
324,62,96.33,168.5,11207,2061
325,37,55.65,190.51,4760,3123
326,61,61.86,156.46,9628,2779
327,18,87.57,157.72,4759,1757
328,21,76.78,163.12,13612,2635
329,28,79.67,167.04,5271,1832
330,22,75.39,192.32,8492,2643
